عبدالعلیم آسی 	/poets/abdul-aleem-aasi?lang=ur
عبدالعزیز فطرت 	/poets/abdul-aziz-fitrat?lang=ur
عبد العزیز خالد 	/poets/abdul-aziz-khalid?lang=ur
عبد الغفور نساخ 	/poets/abdul-ghafoor-nassakh?lang=ur
عبد الہادی وفا 	/poets/abdul-hadi-wafa?lang=ur
عبدالحفیظ ساحل قادری 	/poets/abdul-hafeez-sahil-qadri?lang=ur
عبد الحفیظ نعیمی 	/poets/abdul-hafiz-naeemi?lang=ur
عبدالحلیم شرر 	/poets/abdul-halim-sharar?lang=ur
عبدالحمید ساقی 	/poets/abdul-hameed-saqi?lang=ur
عبد الحمید 	/poets/abdul-hamid?lang=ur
عبد الحمید عدم 	/poets/abdul-hamid-adam?lang=ur
عبدالمجید بھٹی 	/poets/abdul-majeed-bhatti?lang=ur
عبدالمجید حیرت 	/poets/abdul-majeed-hairat?lang=ur
عبدالمجید خاں مجید 	/poets/abdul-majeed-khan-majeed?lang=ur
عبد المجید سالک 	/poets/abdul-majeed-salik?lang=ur
عبد الملک سوز 	/poets/abdul-malik-soz?lang=ur
عبدالمنان صمدی 	/poets/abdul-mannan-samadi?lang=ur
عبدالمنان طرزی 	/poets/abdul-mannan-tarzi?lang=ur
عبدالمتین نیاز 	/poets/abdul-mateen-niyaz?lang=ur
عبدالقوی ضیا 	/poets/abdul-qavi-ziya?lang=ur
عبدالرحمان بزمی 	/poets/abdul-rahman-bazmi?lang=ur
عبدالرحمان احسان دہلوی 	/poets/abdul-rahman-ehsan-dehlvi?lang=ur
عبدالرحمان خان وصفی بہرائچی 	/poets/abdul-rahman-khan-wasfi-bahraichi?lang=ur
عبدالرحمان راسخ 	/poets/abdul-rahman-rasikh?lang=ur
عبد السلام 	/poets/abdul-salam?lang=ur
عبد الوہاب سخن 	/poets/abdul-wahab-sukhan?lang=ur
عبدالوہاب یکروؔ 	/poets/abdul-wahab-yakro?lang=ur
عبد اللہ جاوید 	/poets/abdullah-javed?lang=ur
عبد اللہ کمال 	/poets/abdullah-kamal?lang=ur
عبدالطیف شوق 	/poets/abdullateef-shauq?lang=ur
عبداللہ خاں مہر لکھنوی 	/poets/abdullla-khan-mehr-lakhnavi?lang=ur
عبد الرحیم نشتر 	/poets/abdur-rahim-nashtar?lang=ur
عبد الرشید 	/poets/abdur-rasheed?lang=ur
عبد الرؤف عروج 	/poets/abdur-rauf-urooj?lang=ur
عبدالرحمان مومن 	/poets/abdurrahman-momin?lang=ur
عبدالرحمان واصف 	/poets/abdurrahman-wasif?lang=ur
عبدالشکور آسی 	/poets/abdushshukoor-aasi?lang=ur
