अाज़म ख़ुर्शीद 	/poets/aazam-khursheed?lang=hi
आज़िम कोहली 	/poets/aazim-kohli?lang=hi
अब्बास अली ख़ान बेखुद 	/poets/abbas-ali-khan-bekhud?lang=hi
अब्बास अलवी 	/poets/abbas-alvi?lang=hi
अब्बास अतहर 	/poets/abbas-athar?lang=hi
अब्बास दाना 	/poets/abbas-dana?lang=hi
अब्बास कैफ़ी 	/poets/abbas-kaifi?lang=hi
अब्बास क़मर 	/poets/abbas-qamar?lang=hi
अब्बास रिज़वी 	/poets/abbas-rizvi?lang=hi
अब्बास ताबिश 	/poets/abbas-tabish?lang=hi
अब्दुल अहद साज़ 	/poets/abdul-ahad-saaz?lang=hi
अब्दुल अलीम आसि 	/poets/abdul-aleem-aasi?lang=hi
अब्दुल अज़ीज़ फ़ितरत 	/poets/abdul-aziz-fitrat?lang=hi
अब्दुल अज़ीज़ ख़ालिद 	/poets/abdul-aziz-khalid?lang=hi
अब्दुल ग़फ़ूर नस्साख़ 	/poets/abdul-ghafoor-nassakh?lang=hi
अब्दुल हादी वफ़ा 	/poets/abdul-hadi-wafa?lang=hi
अब्दुल हफ़ीज़ साहिल क़ादरी 	/poets/abdul-hafeez-sahil-qadri?lang=hi
अब्दुल हफ़ीज़ नईमी 	/poets/abdul-hafiz-naeemi?lang=hi
अब्दुल हलीम शरर 	/poets/abdul-halim-sharar?lang=hi
अब्दुल हमीद साक़ी 	/poets/abdul-hameed-saqi?lang=hi
अब्दुल हमीद 	/poets/abdul-hamid?lang=hi
अब्दुल हमीद अदम 	/poets/abdul-hamid-adam?lang=hi
अब्दुल मजीद भट्टी 	/poets/abdul-majeed-bhatti?lang=hi
अब्दुल मजीद हैरत 	/poets/abdul-majeed-hairat?lang=hi
अब्दुल मजीद ख़ाँ मजीद 	/poets/abdul-majeed-khan-majeed?lang=hi
अब्दुल मजीद सालिक 	/poets/abdul-majeed-salik?lang=hi
अब्दुल मलिक सोज़ 	/poets/abdul-malik-soz?lang=hi
अब्दुल मन्नान समदी 	/poets/abdul-mannan-samadi?lang=hi
अब्दुल मन्नान तरज़ी 	/poets/abdul-mannan-tarzi?lang=hi
अब्दुल मतीन नियाज़ 	/poets/abdul-mateen-niyaz?lang=hi
अब्दुल क़वी ज़िया 	/poets/abdul-qavi-ziya?lang=hi
